doctor_id,name,specialization,phone_contact
116,Shell,Infectious disease,shell@gmail.com
752,Regina,Oncologist,regina@gmail.com
957,Sissy,Otolaryngologists,sissy@gmail.com
217,Celestyna,Cardiology,celestyna@gmail.com
100,Thalia,Emergency Medicine,thalia@gmail.com
708,Brynna,Surgery,brynna@gmail.com
262,Maye,Pulmonologists,maye@gmail.com
378,Concettina,Hospice and Palliative Care,concettina@gmail.com
910,Minda,Anesthesiology,minda@gmail.com
740,Charissa,Nephrology,charissa@gmail.com
995,Lanae,Neurology,lanae@gmail.com
907,Ida,Oncologist,ida@gmail.com
688,Constance,Otolaryngologists,constance@gmail.com
117,Karena,Otolaryngologists,karena@gmail.com
602,Tabbatha,Anesthesiology,tabbatha@gmail.com
262,Lanna,Radiology,lanna@gmail.com
811,Lucille,Dermatology,lucille@gmail.com
589,Calla,Dermatology,calla@gmail.com
634,Jacenta,Radiology,jacenta@gmail.com
188,Shaine,Anesthesiology,shaine@gmail.com
349,Edee,Geriatrician,edee@gmail.com
555,Misha,Endocrinologist,misha@gmail.com
715,Hope,Emergency Medicine,hope@gmail.com
885,Lilith,Allergists,lilith@gmail.com
317,Corina,Pulmonologists,corina@gmail.com
933,Ernesta,Psychiatry,ernesta@gmail.com
447,Asia,Internists,asia@gmail.com
615,Sonni,Surgery,sonni@gmail.com
250,Morganica,Pediatrics,morganica@gmail.com
692,Nariko,Internists,nariko@gmail.com
303,Sherrie,Infectious disease,sherrie@gmail.com
339,Brandise,Internists,brandise@gmail.com
306,Georgina,Geriatrician,georgina@gmail.com
837,Beatriz,Allergists,beatriz@gmail.com
416,Jere,Neurology,jere@gmail.com
438,Iseabal,Gastroenterology,iseabal@gmail.com
889,Paola,Infectious disease,paola@gmail.com
955,Gretal,Emergency Medicine,gretal@gmail.com
730,Luci,Emergency Medicine,luci@gmail.com
667,Gloria,Geriatrician,gloria@gmail.com
276,Nelle,Endocrinologist,nelle@gmail.com
645,Asia,Otolaryngologists,asia@gmail.com
722,Catrina,Obstetric Anesthesiologists,catrina@gmail.com
716,Misha,Anesthesiology,misha@gmail.com
911,Lorne,Neurology,lorne@gmail.com
938,Hermione,Pulmonologists,hermione@gmail.com
117,Moyna,Surgery,moyna@gmail.com
350,Estell,Otolaryngologists,estell@gmail.com
272,Nikki,Oncologist,nikki@gmail.com
770,Karly,Emergency Medicine,karly@gmail.com
491,Jinny,Infectious disease,jinny@gmail.com
771,Karena,Internists,karena@gmail.com
183,Shauna,Psychiatry,shauna@gmail.com
165,Monika,Psychiatry,monika@gmail.com
492,Berta,Cardiology,berta@gmail.com
527,Cristabel,Cardiology,cristabel@gmail.com
359,Hollie,Anesthesiology,hollie@gmail.com
